Imie,Nazwisko,wycena_pocz¹tkowa,wycena_po_3_latach,wiek_odejscia,kraj_transferu,klub_sprzedaj¹cy,czy_wrocil_w_3_lata,pozycja
Bartosz,Szymañski,2000,0,20,Niemcy,MiedŸ Legnica,1,Napastnik
Sebastian,Stolecki,250000,200000,22,Holandia,Cracovia,1,Pomocnik Ofensywny
Mateusz,Lewandowski,450000,200000,21,W³ochy,Pogoñ Szczecin,1,Pomocnik Defensywny
Bart³omiej,Zynel,0,175000,16,Austria,Jagiellonia Bia³ystok,0,Bramkarz
Patryk,Wolanski,50000,100000,23,Dania,Widzew £ódŸ,0,Bramkarz
Hubert,Adamczyk,0,100000,16,Anglia,Zawisza Bydgoszcz,1,Pomocnik Ofensywny
Daniel,Dziwniel,600000,200000,22,Szwajcaria,Ruch Chorzów,1,Lewy Obroñca
Micha³,Chrapek,1200000,350000,22,W³ochy,Wis³a Kraków,1,Œrodkowy Pomocnik
Krystian,Bielik,0,2000000,17,Anglia,Legia Warszawa,0,Pomocnik Defensywny
Pawe³,Dawidowicz,1200000,800000,19,Portugalia,Lechia Gdañsk,0,Œrodkowy Obroñca
£ukasz,Teodorczyk,2000000,12500000,23,Ukraina,Lech Poznañ,0,Napastnik
