Imie,Nazwisko,wycena_startowa,wycena_po_3_latach,wiek_odejscia,kraj_transferu,klub_sprzedajacy,czy_wrocil_w_3_lata,pozycja
Bartosz,Szymanski,2000,0,20,Niemcy,Miedz Legnica,1,Napastnik
Sebastian,Stolecki,250000,200000,22,Holandia,Cracovia,1,Pomocnik Ofensywny
Mateusz,Lewandowski,450000,200000,21,Wlochy,Pogon Szczecin,1,Pomocnik Defensywny
Bartlomiej,Zynel,0,175000,16,Austria,Jagiellonia,0,Bramkarz
Patryk,Wolanski,50000,100000,23,Dania,Widzew Lodz,0,Bramkarz
Hubert,Adamczyk,0,100000,16,Anglia,Zawisza Bydgoszcz,1,Pomocnik Ofensywny
Daniel,Dziwniel,600000,200000,22,Szwajcaria,Ruch Chorzow,1,Lewy Obronca
Michal,Chrapek,1200000,350000,22,Wlochy,Wisla Krakow,1,Srodkowy Pomocnik
Krystian,Bielik,0,2000000,17,Anglia,Legia Warszawa,0,Pomocnik Defensywny
Pawel,Dawidowicz,1200000,800000,19,Portugalia,Lechia Gdansk,0,Srodkowy Obronca
Lukasz,Teodorczyk,2000000,12500000,23,Ukraina,Lech Poznan,0,Napastnik
Przemyslaw,Placheta,0,50000,17,Niemcy,Polonia Warszawa,1,Lewy Pomocnik
Michal,Pawlik,50000,75000,20,Norwegia,Jagiellonia,1,Pomocnik Defensywny
Kamil,Wojtkowski,150000,350000,17,Niemcy,Pogon Szczecin,1,Pomocnik Ofensywny
Kamil,Grabara,100000,400000,17,Anglia,Ruch Chorzow,0,Bramkarz
Wojciech,Golla,400000,800000,23,Holandia,Pogon Szczecin,1,Srodkowy Obronca
Michal,Zyro,2000000,500000,23,Anglia,Legia Warszawa,0,Prawy Pomocnik
Jakub,Kiwior,0,300000,16,Belgia,GKS Tychy,0,Srodkowy Obronca
Adam,Chrzanowski,100000,400000,17,Wlochy,Lechia Gdansk,1,Srodkowy Obronca
Przemyslaw,Macierzynski,100000,0,17,Portugalia,Lechia Gdansk,0,Prawy Pomocnik
Bartosz,Kapustka,5000000,2500000,19,Anglia,Cracovia,0,Srodkowy Pomocnik
Mariusz,Stepinski,1500000,4000000,21,Francja,Ruch Chorzow,0,Napastnik
Bartlomiej,Dragowski,2500000,10000000,18,Wlochy,Jagiellonia,0,Bramkarz
Karol,Linetty,3200000,15000000,21,Wlochy,Lech Poznan,0,Srodkowy Pomocnik
Mateusz,Mackowiak,0,100000,16,Niemcy,Pogon Szczecin,1,Lewy Obronca
Bartlomiej,Urbanski,100000,100000,19,Holandia,Legia Warszawa,1,Srodkowy Pomocnik
Przemyslaw,Szymanski,350000,350000,23,Wlochy,Wisla Plock,0,Srodkowy Obronca
Przemyslaw,Bargiel,300000,100000,17,Wlochy,Ruch Chorzow,1,Srodkowy Pomocnik
Pawel,Jaroszynski,400000,450000,22,Wlochy,Cracovia,0,Lewy Obronca
Radoslaw,Murawski,650000,1200000,23,Wlochy,Piast Gliwice,0,Pomocnik Defensywny
Tomasz,Kedziora,1500000,2800000,23,Ukraina,Lech Poznan,0,Prawy Obronca
Jaroslaw,Jach,2000000,525000,23,Anglia,Zaglebie Lubin,1,Srodkowy Obronca
Dawid,Kowancki,3500000,3500000,20,Wlochy,Lech Poznan,0,Napastnik
Jan,Bednarek,500000,15000000,21,Anglia,Lech Poznan,0,Srodkowy Obronca
Mateusz,Bogusz,0,1500000,17,Anglia,Ruch Chorzow,0,Pomocnik Ofensywny
